variable,index,value
QINT,CNAHI.ANAHI,0.2871018294944911
QINT,CNAHI.ANASE,0.29982707127923347
QINT,CNASE.AAGEX,1.3634072169872047
QINT,CNASE.AAGFO,0.195403310331949
QINT,CNASE.AAGOT,0.4859483420416991
QINT,CNASE.AMINE,0.34671700114234144
QINT,CNASE.ANAFO,1.363992763262233
QINT,CNASE.ANALM,2.1066454602202835
QINT,CNASE.ANAHI,0.3838581014461334
QINT,CNASE.ANASE,2.1018232991027053
QINTA,AAGEX,1.9498790232751773
QINTA,AAGFO,0.453723901810352
QINTA,AAGOT,1.2721265426239339
QINTA,AMINE,1.0202031302900698
QINTA,ANAFO,3.6043694891823246
QINTA,ANALM,7.51253145273518
QINTA,ANAHI,2.3617353098598346
QINTA,ANASE,6.886062889316712
QINV,CAGOT,-0.02738959338853361
QINV,CNAFO,-0.1499016738666391
QINV,CNALM,2.477649634720705
QINV,CNAHI,2.5071172986948813
QINV,CNASE,0.2991192490440247
QM,CAGEX,0.02980186967440015
QM,CAGFO,0.055051239710588604
QM,CMINE,0.12775375290933144
QM,CNAFO,0.22523072041487321
QM,CNALM,9.34252667564401
QM,CNASE,0.5107849633786201
QQ,CAGEX,1.5527144015961647
QQ,CAGFO,1.156618136619764
QQ,CAGOT,2.3096629813170204
QQ,CMINE,1.4817887712519748
QQ,CNAFO,5.602693704261673
QQ,CNALM,20.814330243513684
QQ,CNAHI,3.9864475128087276
QQ,CNASE,18.783673166173227
QVA,AAGEX,2.3968722122348773
QVA,AAGFO,0.7654819364419716
QVA,AAGOT,0.9239745356929869
QVA,AMINE,1.1947409940879847
QVA,ANAFO,2.019277129267243
QVA,ANALM,5.046966278796278
QVA,ANAHI,1.4199319682653369
QVA,ANASE,12.508902579444337
QX,CAGEX,4.455126122165114
QX,CAGFO,1.1958497676050415
QX,CAGOT,2.3376760979826035
QX,CMINE,2.3059665261252116
QX,CNAFO,5.577962113888302
QX,CNALM,13.02651833876205
QX,CNAHI,3.9864475128087276
QX,CNASE,19.914511064617734
QXAC,AAGEX.CAGEX,4.455126122165115
QXAC,AAGFO.CAGFO,1.1958497676050412
QXAC,AAGOT.CAGOT,2.3376760979826265
QXAC,AMINE.CMINE,2.3059665261252116
QXAC,ANAFO.CNAFO,5.577962113888302
QXAC,ANALM.CNALM,13.026518338762049
QXAC,ANAHI.CNAHI,3.9864475128086956
QXAC,ANASE.CNASE,19.914511064617734
TABS,,30.59742293605178
TRII,HLSUPP.ENTR,5.615057449053776
TRII,HSHHLD.HURBUPP,0.08290987855388289
TRII,HSHHLD.HURBLOW,0.18733013168274534
TRII,HURBUPP.ENTR,3.360698134715441
WALRAS,,6.186719415145076e-12
WF,LABUSKLS,0.4091525299658063
WF,LABUSKF,1.152087471030927
WF,LABUSKIF,0.8993759697650991
WF,LABSK,32.64331489953403
WF,CAPLSC,1.0917499863705855
WF,CAPSH,1.0928177804262518
WF,CAPOT,1.0216573561972753
WF,LANDLS,0.9957298317769607
WF,LANDSH,0.05154138885562195
YF,LABUSKLS,0.11606132688423257
YF,LABUSKF,0.7708592259133822
YF,LABUSKIF,2.2644908449994725
YF,LABSK,10.03955775728184
YF,CAPLSC,1.873844443025338
YF,CAPSH,0.28771151533373535
YF,CAPOT,11.07864612829261
YF,LANDLS,0.5002940164105556
YF,LANDSH,0.14791485754546496
YG,,6.175209378508583
YIF,HLSUPP.LABSK,0.8298711765091469
YIF,HLSUPP.CAPLSC,1.873844443025338
YIF,HLSUPP.LANDLS,0.5002940164105555
YIF,HLSLOW.LABUSKLS,0.11606132688423579
YIF,HSHHLD.LABUSKIF,0.7236620581526766
YIF,HSHHLD.CAPSH,0.28771151533373546
YIF,HSHHLD.LANDSH,0.14791485754546496
YIF,HURBUPP.LABSK,9.180249154881999
YIF,HURBLOW.LABUSKF,0.770859225913382
YIF,HURBLOW.LABUSKIF,1.540828786846796
YIF,HURBLOW.CAPOT,0.1314371107106622
YIF,ENTR.CAPOT,10.947209017581946
YI,HLSUPP,9.564481088157615
YI,HLSLOW,0.11606132688423579
YI,HSHHLD,1.909574918038319
YI,HURBUPP,12.649576197052982
YI,HURBLOW,2.6841960790504893
YI,ENTR,11.592396971686503
