kind,index,value
SAM,GOV.YTAX,3.72558512807372200e+00
SAM,HLSLOW.LABUSKLS,1.06333247067339320e-01
SAM,HLSLOW.TOTAL,1.06333247067339320e-01
SAM,HLSUPP.CAPLSC,1.71636772742702082e+00
SAM,HLSUPP.ENTR,5.51622912952789690e+00
SAM,HLSUPP.GOV,6.36121912441244275e-01
SAM,HLSUPP.LABSK,8.11060905338597427e-01
SAM,HLSUPP.LANDLS,4.59653333253084939e-01
SAM,HLSUPP.ROW,1.03860952399922893e-01
SAM,HLSUPP.TOTAL,9.24329396038776707e+00
SAM,HSHHLD.CAPSH,2.63274921480057655e-01
SAM,HSHHLD.GOV,4.80046476769805941e-01
SAM,HSHHLD.HURBLOW,1.82228231895448761e-01
SAM,HSHHLD.HURBUPP,8.11583284221007867e-02
SAM,HSHHLD.LABUSKIF,6.97030090759938159e-01
SAM,HSHHLD.LANDSH,1.36394339130032266e-01
SAM,HSHHLD.TOTAL,1.84013238845738347e+00
SAM,HURBLOW.CAPOT,1.28650872930512999e-01
SAM,HURBLOW.GOV,2.41070955579628265e-01
SAM,HURBLOW.LABUSKF,7.57246966501350482e-01
SAM,HURBLOW.LABUSKIF,1.48412372466093445e+00
SAM,HURBLOW.TOTAL,2.61109251967242617e+00
SAM,HURBUPP.ENTR,3.30154786740274364e+00
SAM,HURBUPP.GOV,1.08628907455597265e-01
SAM,HURBUPP.LABSK,8.97216508002237489e+00
SAM,HURBUPP.TOTAL,1.23823418548807158e+01
SAM,IMPTAX.TOTAL,0.00000000000000000e+00
SAM,INSTAX.TOTAL,0.00000000000000000e+00
SAM,LABSK.AAGEX,5.25457159368881155e-01
SAM,LABSK.AAGFO,5.48812145032572737e-02
SAM,LABSK.AAGOT,7.75657065392920952e-02
SAM,LABSK.AMINE,3.27402168048383790e-01
SAM,LABSK.ANAFO,2.47697923031816231e-01
SAM,LABSK.ANAHI,7.31584174167341672e-01
SAM,LABSK.ANALM,1.77366743848674080e+00
SAM,LABSK.ANASE,6.07294476981530185e+00
SAM,LABSK.TOTAL,9.81120055396101520e+00
SAM,LABUSKF.AMINE,3.72378800144903960e-02
SAM,LABUSKF.ANAFO,3.15962887010518903e-02
SAM,LABUSKF.ANAHI,7.75249129648384050e-02
SAM,LABUSKF.ANALM,1.63174822545105513e-01
SAM,LABUSKF.ANASE,4.47713062275864548e-01
SAM,LABUSKF.TOTAL,7.57246966501350705e-01
SAM,LABUSKIF.AAGEX,1.20532615785964914e-01
SAM,LABUSKIF.AAGFO,2.26435428078468476e-01
SAM,LABUSKIF.AAGOT,3.38533132932942515e-01
