"Time","Material_1","Material_2","Material_3","Material_4","Material_5","Material_6","Material_7","Material_8","Material_9","Material_10"
"22","10.790328500557205","12.464998199420801","7.753392693612273","1.311180352003024","12.669203680628495","6.188126013090198","11.16840112399968","21.940451734658872","12.246774137464305","0.0"
"23","12.190331367055203","12.329475333434416","8.16942266033093","3.869846329531813","13.354982872303397","6.980863747629948","12.97001387829567","25.13107649422591","12.967455753711556","0.0"
"24","13.183034244991077","12.152746072006058","8.332092057345216","5.15630848861441","13.745728470085371","7.901075720556236","14.867197017846271","26.67860130224107","13.786834837122054","0.0"
"25","12.717267565867123","11.179238689016715","7.5570802016223055","4.037597904933669","13.109264876028089","7.636492486663725","13.971178899026931","24.875109197549975","12.779576200193345","0.0"
"26","11.397765975290142","13.643308670709837","5.784540925970999","3.403711448935009","11.613556833358457","3.9870444960394","12.737486833676604","21.904949203538266","12.718556691582403","0.0"
"27","24.566887026141206","19.19371960412607","17.95775565077337","35.49678574980053","31.221001309482805","14.99170188698673","31.53297287858036","44.11906773609881","29.224103797627436","0.0"
"28","29.387468898840744","13.443573289023522","18.342397757830245","24.97476048273197","30.819346023536283","27.533675660151843","24.793827147785734","40.79346059697369","25.33785874236775","0.0"
"29","29.586609642256015","19.93732955944526","19.236972206477486","26.758383457893544","28.850893291692536","24.385461760146505","31.902544027409956","41.937818753313024","28.362302301884295","0.0"
"30","28.366818811470367","27.136569849797347","17.832418153727264","25.842030253945435","29.062596375335055","23.171759900854887","26.91765060513493","40.34067712219757","27.700996013581143","0.0"
"31","27.92390024705236","24.217811854301576","17.772052012562284","25.770841211598302","29.463421074337013","22.50423857634204","27.38684759359037","40.30824714886776","27.641594143286188","0.0"
"32","27.80732454936721","23.86013582503479","17.30168019200206","25.39837859616738","29.20528343592222","22.430082404272586","27.155073867067138","40.010758844780355","27.410373710630715","0.0"
"33","27.487741329328777","23.812763943589967","16.898776219818195","25.21796732259697","29.06003293250346","22.26104572432515","27.025771269535323","39.8535131535592","27.382430814354706","0.0"
"34","27.392604077682265","23.81044737918245","16.656558656739616","25.223622512877213","29.00598417000261","22.219780897263394","27.061594425771005","39.84225939484279","27.37561284233477","0.0"
"35","27.53810883398365","23.808898700849177","16.66155261943317","25.522291514589966","29.30351250306728","22.602516833631043","27.307533255249886","40.089663232447705","27.401786475481288","0.0"
"36","28.362315730626573","23.962388200409226","17.1596767925161","26.758220484918688","30.433006615305615","23.785712327859645","28.223698700473328","41.145967321079006","27.786128763561486","0.0"
"37","30.325067769596423","24.816972924617634","18.448639180122438","29.51353014599316","32.39830578312989","25.844200193715327","30.304301293623936","43.239840266981155","29.84021049980413","0.0"
"38","32.59365287253436","26.803509329376624","19.072852899892304","31.010137965852646","32.73749512807407","25.844200193715327","31.689674265843134","43.137359392158736","32.344544527933095","0.0"
"39","25.617299661053835","29.794711109094795","11.33257537408312","11.497024452888974","23.335789109697863","25.844200193715327","17.274431632870364","28.51348343345034","24.1991407631769","0.0"
"40","18.328593207641166","25.92362671598525","8.277056766059989","11.327878177891158","17.11760239506157","20.869082867317992","16.161997244785177","28.228857257440115","18.8405069168474","0.0"
"41","17.633846166373804","18.0213694356095","7.044330686297023","9.385436776759343","15.931923685055809","13.699483351046068","15.118546588691608","27.08884977276701","18.762321595825068","0.0"
"42","17.051827091728768","13.595374158544546","6.065005221719102","8.544582304542406","14.940141401330337","6.0124031433788705","14.152271581230053","26.53222819687811","18.135271086200277","0.0"
"43","16.49265648337193","13.098330921727992","4.922368589189935","7.541165197288468","13.96002070513006","4.651111861580313","12.867859950272592","25.786375021610446","17.34550584700043","0.0"
"44","15.998427175552935","12.70964865931547","4.221616231129061","6.927882695990297","13.508672365065813","4.184134889720197","12.420508922987661","25.32431183629178","16.910645819424964","0.0"
"45","15.6319186941546","12.489895288713468","3.7046789777840092","6.506277281877742","13.247459902776257","3.912998835913279","12.182254042800992","24.960672182056634","16.55082743731821","0.0"
"46","15.295875251708942","12.312549572584839","3.3628526277966344","6.145087276553907","13.059518807067771","3.7251421119476147","12.034187557826062","24.62966732913261","16.081584975291825","0.0"
"47","14.90297269649269","12.12129252532499","3.0955459531701024","5.714611894720331","12.851215207596992","3.5135775996466614","11.910024423275962","24.311380386824162","15.544236144860577","0.0"
"48","14.276414426050543","11.825280389113152","2.6745173929839696","5.008480122706965","12.4961341618475","3.1364901123992275","11.688312618069933","23.832758989988875","14.996927329717366","0.0"
"49","13.720275482329386","11.653986440015716","2.3305292052392357","4.322293162737267","12.191289111457595","2.845086094274564","11.577969487764697","23.34074651813999","14.665043633479527","0.0"
"50","15.194834036575404","12.412725570492544","3.1992639297157903","5.5238245051354244","13.16311850611332","4.322915680381759","12.228486058042389","24.1900620359179","15.622881865812428","0.0"
"51","12.950508870246294","11.577915389840177","2.5865925698719128","4.895803055010608","12.47035917826868","2.591561221718253","12.737665458575595","23.913428922239017","15.921531621033031","0.0"
"52","12.257632525297392","11.274152605629157","1.9914771153926893","3.1997579845483677","11.83190002263278","1.3642817877775038","11.634856765481977","22.82367064009319","15.595123561552054","0.0"
"53","11.827957131777996","10.986417213789453","1.5445712566290695","2.3636234043868316","11.198953398150174","0.8943834100075019","10.995700980902313","22.067084089668203","15.03591243653089","0.0"
"54","11.470382285454448","10.662005241506833","1.04625621743723","1.8194460411174227","10.620216378646463","0.5621347971431537","10.45848608945757","21.7497479165237","14.603287037378813","0.0"
"55","11.355228234040979","10.380073987186897","0.6232512710203245","1.889330241929289","10.316635766071396","0.1686852781947542","10.429876101392047","21.9828609371946","14.380595003573804","0.0"
"56","11.80755077261315","10.116483160777282","0.3793037461092577","2.5778534217522915","10.197305834803759","0.10711229536016464","10.364471681659492","22.56359283784379","14.491713091595361","0.0"
"57","12.475191457821758","10.320639531121083","0.8299254372163971","3.3761921552867884","10.407739808675698","0.2633618093313897","10.371610236942832","23.085883414738454","14.810921264709762","0.0"
"58","12.856203782037873","10.912227192380575","1.5850752335003255","4.111876790953176","10.887778657074","0.3563510749800935","10.851599015373338","23.36871127952233","15.23210599292988","0.0"
"59","12.82303213221289","11.203380967351924","1.8185139721037853","4.110478515795577","11.495518359003116","1.1821323154511603","11.202291327704604","23.450946162077557","15.416419436911404","0.0"
"60","12.798973447429574","11.145577108454319","1.7165506582316294","3.9782040966540873","11.441788462329301","1.6646666708795967","11.332125931800016","23.451721294672147","15.423758541697772","0.0"
