"Asset","","Liability",""
"Cash","1.8431390438145563","RetainedEarnings","0.23765578130587728"
"Cash","1.2374884719482342","RetainedEarnings","0.21586777946266716"
"Cash","1.3136325840012795","RetainedEarnings","0.19726952020339483"
"Cash","1.0669770085396273","RetainedEarnings","0.18127848718069936"
"Cash","0.9698329475731713","RetainedEarnings","1.3755881219194226"
"Cash","0.802523744921265","RetainedEarnings","0.5430645403264123"
"Cash","0.7101769909953584","RetainedEarnings","2.3635705629972534"
"Cash","0.591761631010816","RetainedEarnings","1.287165350876947"
"Cash","0.5196883325770507","RetainedEarnings","3.0333422637112557"
"Cash","0.4358739936347704","RetainedEarnings","1.0099046321524803"
"Cash","0.38059233323115027","RetainedEarnings","3.1280020942642643"
"Cash","0.3208163281323273","RetainedEarnings","6.703101054099335"
"Cash","0.2788972005469639","RetainedEarnings","9.855992096776934"
"Cash","0.23599887266221642","RetainedEarnings","12.621410428828234"
"Cash","0.20447202813741816","RetainedEarnings","14.976194851707824"
"Cash","0.1735316595932317","RetainedEarnings","17.007625123024873"
"Cash","0.14996216109237437","RetainedEarnings","18.7299955812958"
"Cash","0.127557632224358","RetainedEarnings","19.97395970196044"
"Cash","0.11001472896605291","RetainedEarnings","21.149542436928826"
"Cash","9.374030284556578e-2","RetainedEarnings","22.146537856606614"
"Cash","8.072594047891019e-2","RetainedEarnings","23.01491717225129"
"Cash","1.8961273551786704","RetainedEarnings","23.767876822448514"
"Cash","3.970276304643299","RetainedEarnings","24.40787602240574"
"Cash","4.232237851498617","RetainedEarnings","24.960251232372556"
"Cash","3.9534127721177548","RetainedEarnings","25.43061543049092"
"Cash","3.438211315928939","RetainedEarnings","25.835900476148485"
"Cash","2.9915056193286915","RetainedEarnings","26.18152238928403"
"Cash","2.1929581115639003","RetainedEarnings","26.47894097241565"
"Cash","2.099117036702424","RetainedEarnings","26.73286196449719"
"Cash","1.6007668699529436","RetainedEarnings","26.951153358074503"
"Cash","1.4781059801502572","RetainedEarnings","27.13768060921043"
"Cash","1.2613692007210755","RetainedEarnings","27.29791355190715"
"Cash","1.0872298510128156","RetainedEarnings","27.43492122419466"
"Cash","0.9355530436424244","RetainedEarnings","27.55254707685334"
"Cash","0.7992421771025091","RetainedEarnings","27.653174425796674"
"Cash","0.6866761603959475","RetainedEarnings","27.739528172325983"
"Cash","0.5870538340684455","RetainedEarnings","3.5091282202222587"
"Cash","0.5040703822515051","RetainedEarnings","7.901707248719603"
"Cash","0.43117643921833615","RetainedEarnings","12.452078102554154"
"Cash","0.37005234053617864","RetainedEarnings","15.792050297075267"
"Cash","0.31667033103856035","RetainedEarnings","19.054967165663996"
"Cash","0.27168011624423394","RetainedEarnings","21.539266719628184"
"Cash","0.2325627240423318","RetainedEarnings","23.787625893585947"
"Cash","0.19946641231681106","RetainedEarnings","25.6307649374005"
"Cash","0.17078815775120604","RetainedEarnings","26.868253409348732"
"Cash","0.14645185618399492","RetainedEarnings","28.18188599335001"
"Cash","0.12541914847233682","RetainedEarnings","29.248863001889642"
"Cash","0.10753010835231402","RetainedEarnings","30.218695949462813"
"Cash","9.210031001105201e-2","RetainedEarnings","31.02121969438408"
"Cash","0.6394537506927804","RetainedEarnings","31.731396685379437"
"Products","7.4359242621","RetainedEarnings","32.32315831639025"
"Products","7.879262252606843","RetainedEarnings","32.842846648967296"
"Products","6.144018923014446","RetainedEarnings","33.27872064260207"
"Products","5.7607834910352045","RetainedEarnings","33.65931297583322"
"Products","4.570680489971007","RetainedEarnings","33.98012930396554"
"Products","4.191977497284336","RetainedEarnings","34.259026504512505"
"Products","3.3857678640686153","RetainedEarnings","34.49502537717472"
"Products","3.0560834115100914","RetainedEarnings","34.69949740531214"
"Products","2.502690540431455","RetainedEarnings","34.87302906490537"
"Products","2.2316431971265707","RetainedEarnings","35.02299122599774"
"Products","1.8470123332666275","RetainedEarnings","35.1505488582221"
"Products","1.6316942156003411","RetainedEarnings","35.26056358718816"
"Products","1.3614809005065025","RetainedEarnings","35.35430389003373"
"Products","1.194211516412999","RetainedEarnings","2.7291603784098513"
"Products","1.002668613348641","RetainedEarnings","6.6825731505276025"
"Products","0.8746899855149521","RetainedEarnings","10.120784466456538"
"Products","0.7379073480249936","RetainedEarnings","13.112290085785233"
"Products","0.641034592448651","RetainedEarnings","15.305248197349137"
"Products","0.5427706839200044","RetainedEarnings","17.40436523405156"
"Products","0.4700071183904223","RetainedEarnings","19.005132104004502"
"Products","0.3990758615600293","RetainedEarnings","20.483238084154763"
"Products","0.34472893544877947","RetainedEarnings","21.74460728487584"
"Products","0.2933327008725041","RetainedEarnings","22.831837135888655"
"Products","0.2529102718498898","RetainedEarnings","23.767390179531077"
"Products","0.21555744191967552","RetainedEarnings","24.566632356633583"
"Products","0.18558538702511274","RetainedEarnings","25.25330851702953"
"Products","0.15837520146584128","RetainedEarnings","25.840362351097976"
"Products","0.1362037396233519","RetainedEarnings","26.344432733349482"
"Products","0.11634597665050775","RetainedEarnings","26.77560917256782"
"Products","9.997384375516986e-2","RetainedEarnings","27.145661513103995"
"Products","2.0814460965544845e-2","RetainedEarnings","27.462331844142557"
"Products","0.1783378947202417","RetainedEarnings","27.73401196038679"
"Products","8.322428032820084e-2","RetainedEarnings","27.966574684429123"
"Products","0.10957085832829278","RetainedEarnings","28.166041096745932"
"Products","6.033342825177862e-2","RetainedEarnings","28.33682925449714"
"Products","7.015821858972798e-2","RetainedEarnings","28.483281110681137"
"Products","3.9265272323635136e-2","RetainedEarnings","28.608700259153473"
"Products","4.223570826645179e-2","RetainedEarnings","28.716230367505787"
"Products","2.2694831906956314e-2","Total","2270.6316068965675"
"Products","2.2514189467884388e-2","",""
"Products","9.936451716172495e-3","",""
"Products","8.475615059743091e-3","",""
"Products","2.3603657372002484e-4","",""
"Products","0.2741249619336348","",""
"Products","0.11905846535283682","",""
"Products","0.1627136925497018","",""
"Products","8.081947583259608e-2","",""
"Products","9.717545440810027e-2","",""
"Products","4.573605878668985e-2","",""
"Products","5.068229736745966e-2","",""
"Products","1.814341332396663e-2","",""
"Products","1.7842612398682123e-2","",""
"Products","0.1281630909794858","",""
"Products","5.613382402505884e-2","",""
"Products","7.639276427017211e-2","",""
"Products","3.839665105150575e-2","",""
"Products","4.598451370774792e-2","",""
"Products","2.2121679437998032e-2","",""
"Products","2.441622017890832e-2","",""
"Products","9.321610163921995e-3","",""
"Products","9.182070375951368e-3","",""
"Products","8.906453552130378e-2","",""
"Products","3.7155654502521396e-2","",""
"Products","5.195819018360015e-2","",""
"Products","2.410652725331014e-2","",""
"Products","2.967268459146083e-2","",""
"Products","1.2165114735303961e-2","",""
"Products","1.3848616335132777e-2","",""
"Products","2.7736550761217615e-3","",""
"Products","2.6712742031060194e-3","",""
"Products","6.938893903907228e-18","",""
"Products","9.531287350244885e-2","",""
"Products","3.727578684876398e-2","",""
"Products","5.3942276163896935e-2","",""
"Products","2.2543935077423638e-2","",""
"Products","2.8820570206983892e-2","",""
"Products","9.077571489352593e-3","",""
"Products","1.0976037286850149e-2","",""
"Products","0.5564700774292892","",""
"Products","0.2150421873301982","",""
"Products","0.3133461521216785","",""
"Products","0.1280022793609794","",""
"Products","0.16506127123615988","",""
"Products","4.8487074533356544e-2","",""
"Products","5.969685797390367e-2","",""
"Products","2.7755575615628914e-17","",""
"Products","1.3877787807814457e-17","",""
"Products","0.7289557113103264","",""
"Products","0.27026586829830945","",""
"Products","0.4034031624330616","",""
"Products","0.15185197512787063","",""
"Products","0.20217604626488117","",""
"Products","4.385650596695978e-2","",""
"Products","5.90808735506807e-2","",""
"Products","0.5799161510909914","",""
"Products","0.2263876929982549","",""
"Products","0.32790955634759134","",""
"Products","0.13658722631725206","",""
"Products","0.17483739025020428","",""
"Products","5.4519964765140205e-2","",""
"Products","6.608959858034891e-2","",""
"Products","1.1102230246251565e-16","",""
"Products","13.26543200357222","",""
"Products","10.61998006039499","",""
"Products","10.235365436534266","",""
"Products","8.026865369384266","",""
"Products","7.4554244057826295","",""
"Products","5.958265650181484","",""
"Products","5.428775422971264","",""
"Products","4.409677786870606","",""
"Products","3.960400700936173","",""
"Products","3.2574151300698215","",""
"Products","2.89351630039988","",""
"Products","2.402818953520135","",""
"Products","2.116487452987333","",""
"Products","1.770515487113728","",""
"Products","1.5495078553370365","",""
"Products","1.3035313498447005","",""
"Products","1.1351967353170933","",""
"Products","0.9591163315978137","",""
"Products","0.8321062791869749","",""
"Products","0.7053645565896358","",""
"Products","0.6101878039450722","",""
"Products","0.518558267114612","",""
"Products","0.4475939935200617","",""
"Products","0.3811188518324396","",""
"Products","0.32840471072551913","",""
"Products","0.28004687847150234","",""
"Products","0.2409986499472646","",""
"Products","0.20574544739346373","",""
"Products","0.17688103816385548","",""
"Products","0.1511386542227967","",""
"Products","5.551115123125783e-17","",""
"Products","1.8592795864876277e-3","",""
"Products","8.304350773129174e-3","",""
"Products","1.0366424114430131e-2","",""
"Products","1.4728975831631769e-2","",""
"Products","1.652064051223897e-2","",""
"Products","1.9515898583998742e-2","",""
"Products","2.0987594292018866e-2","",""
"Products","2.3069917637846903e-2","",""
"Products","2.4238370964205596e-2","",""
"Products","2.5701552964567043e-2","",""
"Products","2.6608924571590902e-2","",""
"Products","2.7646286452951477e-2","",""
"Products","2.8340340866734176e-2","",""
