"Time","Production_1","Production_2","Production_3","Production_4","Production_5","Production_6","Production_7","Production_8","Production_9","Production_10"
"23","39.2992996125262","26.32417110930257","33.74980825203733","92.18550368105583","39.348561704144494","23.587686168146327","78.3521488293166","83.76251607499225","84.03030421663472","0.0"
"24","39.25099194010787","26.296365223028523","33.71021170641312","92.1279832798761","39.307015155563285","23.542750510277315","78.316291469235","83.72144561239087","83.98294496237045","0.0"
"25","39.2308836233256","26.285088273714408","33.69478560613751","92.10496472104728","39.29052229634205","23.52518113261555","78.3020548847039","83.70458495328958","83.96433445252916","0.0"
"26","39.22278204705589","26.28059177644787","33.688676623996116","92.09572760330356","39.283930551369224","23.51817425031332","78.29639708078172","83.69780113107737","83.95687891313699","0.0"
"27","39.21953552079195","26.278797605783076","33.686239035683556","92.09202806679025","39.281296175945","23.515369753737918","78.29413840095164","83.6950854194692","83.9538940118402","0.0"
"28","39.2182363768866","26.278080391537845","33.68526461527313","92.09054775534021","39.280242650693125","23.51424775784968","78.2932353366759","83.69399895364475","83.95269975849591","0.0"
"29","39.21771667053658","26.27779354966861","33.68487490367639","92.08995558463333","39.2798212608565","23.51379893912846","78.29287415223551","83.6935643501118","83.95222202771168","0.0"
"30","39.217508783422424","26.27767881720454","33.68471902434499","92.08971871187786","39.279652707020226","23.513619409507434","78.2927296821514","83.69339050728723","83.95203093260746","0.0"
"31","39.217425628160434","26.277632924606483","33.684656673104016","92.08962396236775","39.27958528566804","23.51354759747159","78.29267189446944","83.69332097001774","83.95195449430395","0.0"
"32","39.21739236601688","26.27761456760401","33.68463173265304","92.0895860625254","39.27955831714484","23.513518872638883","78.29264877942882","83.69329315509778","83.95192391895813","0.0"
"33","39.21737906115591","26.277607224806378","33.68462175647686","92.08957090258494","39.27954752973716","23.513507382704137","78.29263953341555","83.69328202912862","83.95191168881756","0.0"
"34","39.2173737392112","26.27760428768764","33.68461776600677","92.08956483860845","39.279543214774236","23.513502786730086","78.29263583501053","83.69327757874086","83.95190679676111","0.0"
"35","39.21737161043328","26.277603112840172","33.68461616981877","92.0895624130178","39.27954148878908","23.51350094834045","78.29263435564853","83.69327579858574","83.95190483993852","0.0"
"36","39.217370758922115","26.277602642901183","33.68461553134357","92.08956144278156","39.27954079839502","23.513500212984596","78.29263376390375","83.6932750865237","83.95190405720948","0.0"
"37","39.21737041831764","26.277602454925592","33.6846152759535","92.08956105468704","39.2795405222374","23.513499918842253","78.29263352720582","83.69327480169888","83.95190374411787","0.0"
"38","39.217370282075855","26.277602379735356","33.68461517379746","92.08956089944924","39.279540411774335","23.513499801185315","78.29263343252666","83.69327468776895","83.95190361888122","0.0"
"39","39.21737022757913","26.27760234965926","33.68461513293505","92.08956083735414","39.27954036758913","23.51349975412254","78.292633394655","83.69327464219698","83.95190356878655","0.0"
"40","39.21737020578046","26.277602337628828","33.68461511659008","92.08956081251608","39.27954034991504","23.51349973529743","78.29263337950633","83.6932746239682","83.95190354874869","0.0"
"41","39.21737019706098","26.27760233281665","33.6846151100521","92.08956080258086","39.279540342845394","23.51349972776739","78.29263337344686","83.69327461667669","83.95190354073354","0.0"
"42","39.217370193573196","26.27760233089178","33.6846151074369","92.08956079860678","39.27954034001755","23.51349972475537","78.29263337102307","83.69327461376008","83.95190353752749","0.0"
"43","39.217370192178066","26.277602330121834","33.68461510639083","92.08956079701716","39.279540338886406","23.513499723550567","78.29263337005357","83.69327461259341","83.95190353624507","0.0"
"44","39.21737019162003","26.277602329813853","33.6846151059724","92.08956079638128","39.27954033843394","23.513499723068637","78.29263336966577","83.69327461212677","83.9519035357321","0.0"
"45","39.21737019139681","26.277602329690662","33.68461510580502","92.08956079612693","39.279540338252964","23.513499722875874","78.29263336951064","83.6932746119401","83.95190353552691","0.0"
"46","39.217370191307516","26.277602329641383","33.684615105738075","92.08956079602521","39.279540338180574","23.513499722798763","78.29263336944858","83.69327461186543","83.95190353544483","0.0"
"47","39.217370191271804","26.277602329621672","33.6846151057113","92.0895607959845","39.27954033815161","23.513499722767918","78.29263336942377","83.69327461183558","83.951903535412","0.0"
"48","39.21737019125753","26.277602329613785","33.68461510570057","92.08956079596824","39.27954033814003","23.513499722755576","78.29263336941383","83.69327461182364","83.95190353539887","0.0"
"49","39.21737019125181","26.277602329610637","33.684615105696295","92.08956079596172","39.27954033813539","23.51349972275065","78.29263336940987","83.69327461181885","83.95190353539363","0.0"
"50","39.21737019124952","26.277602329609373","33.68461510569458","92.08956079595912","39.27954033813354","23.51349972274867","78.29263336940828","83.69327461181695","83.95190353539152","0.0"
"51","39.217370191248605","26.277602329608875","33.684615105693894","92.08956079595808","39.2795403381328","23.513499722747888","78.29263336940764","83.69327461181618","83.95190353539067","0.0"
"52","39.217370191248236","26.277602329608666","33.68461510569363","92.08956079595765","39.279540338132506","23.513499722747568","78.29263336940738","83.69327461181587","83.95190353539034","0.0"
"53","39.217370191248094","26.277602329608587","33.68461510569351","92.0895607959575","39.279540338132385","23.513499722747444","78.29263336940728","83.69327461181574","83.9519035353902","0.0"
"54","39.21737019124804","26.277602329608552","33.684615105693474","92.08956079595742","39.27954033813234","23.51349972274739","78.29263336940724","83.69327461181571","83.95190353539016","0.0"
"55","39.21737019124801","26.277602329608545","33.68461510569345","92.08956079595741","39.279540338132314","23.513499722747373","78.29263336940723","83.69327461181567","83.95190353539013","0.0"
"56","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595737","39.279540338132314","23.513499722747362","78.29263336940723","83.69327461181568","83.95190353539012","0.0"
"57","39.217370191247994","26.277602329608534","33.684615105693446","92.0895607959574","39.27954033813231","23.513499722747362","78.29263336940723","83.69327461181567","83.95190353539013","0.0"
"58","39.217370191248","26.277602329608534","33.684615105693446","92.0895607959574","39.27954033813231","23.513499722747362","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"59","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595737","39.27954033813231","23.513499722747362","78.29263336940723","83.69327461181567","83.95190353539013","0.0"
"60","39.217370191247994","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.9519035353901","0.0"
"61","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"62","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"63","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"64","39.217370191248","26.277602329608534","33.68461510569344","92.0895607959574","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"65","39.217370191248","26.27760232960853","33.684615105693446","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181565","83.95190353539012","0.0"
"66","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"67","39.217370191248","26.27760232960853","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"68","39.217370191248","26.277602329608538","33.68461510569344","92.08956079595737","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"69","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"70","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"71","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"72","39.217370191248","26.277602329608534","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"73","39.217370191248","26.27760232960853","33.684615105693446","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181565","83.95190353539012","0.0"
"74","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"75","39.217370191248","26.27760232960853","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"76","39.217370191248","26.277602329608538","33.68461510569344","92.08956079595737","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"77","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"78","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"79","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"80","39.217370191248","26.277602329608534","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"81","39.217370191248","26.27760232960853","33.684615105693446","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181565","83.95190353539012","0.0"
"82","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"83","39.217370191248","26.27760232960853","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"84","39.217370191248","26.277602329608538","33.68461510569344","92.08956079595737","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"85","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"86","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"87","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"88","39.217370191248","26.277602329608534","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"89","39.217370191248","26.27760232960853","33.684615105693446","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181565","83.95190353539012","0.0"
"90","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"91","39.217370191248","26.27760232960853","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"92","39.217370191248","26.277602329608538","33.68461510569344","92.08956079595737","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"93","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"94","39.217370191248","26.277602329608534","33.68461510569344","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"95","39.217370191248","26.27760232960853","33.68461510569344","92.08956079595738","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"96","39.217370191248","26.277602329608534","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
"97","39.217370191248","26.27760232960853","33.684615105693446","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940721","83.69327461181565","83.95190353539012","0.0"
"98","39.217370191248","26.277602329608534","33.684615105693446","92.08956079595738","39.27954033813231","23.513499722747355","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"99","39.217370191248","26.27760232960853","33.68461510569344","92.0895607959574","39.27954033813231","23.51349972274736","78.29263336940723","83.69327461181567","83.95190353539012","0.0"
"100","39.217370191248","26.277602329608538","33.68461510569344","92.08956079595737","39.27954033813231","23.51349972274735","78.29263336940721","83.69327461181567","83.95190353539012","0.0"
